analysis_order	gene_symbol	UKB_PPP_OID	UniProt_ID	Olink_panel	synapse_id	download_source	archive_name	archive_path	file_size_bytes	modified_time	md5	sha256	expected_md5	md5_matches_frozen_config	expected_sha256	sha256_matches_frozen_config	member_count	total_data_rows	genome_build_variant_ID	GENPOS_build	variant_ID_format	tar_readable	all_gzip_members_readable
1	BCAM	OID21076	P50895	Neurology	syn51471291	Synapse syn51471291; provider-authorized archive verified	BCAM_P50895_OID21076_v1_Neurology.tar	<external_resource_root>\UKB-PPP\syn51365303_European_discovery\BCAM_P50895_OID21076_v1_Neurology.tar	548208640	2026-07-12T01:55:27	C7B99EC91A6DE8A1333E49254A27D9E7	D39740E0EC6B1FB2B29C87858F740A0BD11034B93BEBDC4088A57494D8105744	C7B99EC91A6DE8A1333E49254A27D9E7	True	D39740E0EC6B1FB2B29C87858F740A0BD11034B93BEBDC4088A57494D8105744	True	23	16014155	GRCh37/hg19	GRCh38/hg38	CHR:GRCh37_POS:ALLELE0:ALLELE1	True	True
2	CD55	OID20377	P08174	Cardiometabolic	syn51470988	Synapse syn51470988; provider-authorized archive verified	CD55_P08174_OID20377_v1_Cardiometabolic.tar	<external_resource_root>\UKB-PPP\syn51365303_European_discovery\CD55_P08174_OID20377_v1_Cardiometabolic.tar	543723520	2026-07-12T02:10:52	3205C272C280A7865D32F1DCBCED6134	7D114FE7D0575AC55FBB6E89DC732A1287DEFC982605ED80E3F4AB860358588A	3205C272C280A7865D32F1DCBCED6134	True	7D114FE7D0575AC55FBB6E89DC732A1287DEFC982605ED80E3F4AB860358588A	True	23	15890575	GRCh37/hg19	GRCh38/hg38	CHR:GRCh37_POS:ALLELE0:ALLELE1	True	True
3	LILRB1	OID20323	Q8NHL6	Cardiometabolic	syn51469086	Synapse syn51469086; provider-authorized archive verified	LILRB1_Q8NHL6_OID20323_v1_Cardiometabolic.tar	<external_resource_root>\UKB-PPP\syn51365303_European_discovery\LILRB1_Q8NHL6_OID20323_v1_Cardiometabolic.tar	550144000	2026-07-12T07:23:48	FA72CDAE971F2B99283C9939E420CBE8	FF0A4BCBDA09C0F861EB4779808E96F8B19E6DCAEF515E74FEDC30B3591558A7	FA72CDAE971F2B99283C9939E420CBE8	True	FF0A4BCBDA09C0F861EB4779808E96F8B19E6DCAEF515E74FEDC30B3591558A7	True	23	16053405	GRCh37/hg19	GRCh38/hg38	CHR:GRCh37_POS:ALLELE0:ALLELE1	True	True
4	LILRB5	OID20324	O75023	Cardiometabolic	syn51469508	Synapse syn51469508; provider-authorized archive verified	LILRB5_O75023_OID20324_v1_Cardiometabolic.tar	<external_resource_root>\UKB-PPP\syn51365303_European_discovery\LILRB5_O75023_OID20324_v1_Cardiometabolic.tar	550963200	2026-07-12T07:27:36	6D14CF4DE2DC68C86518F90CB9DE4666	620F6C1626F0CDFB07140F5447E4B951D7B6832FB84AB99B9536F1782FB22D8A	6D14CF4DE2DC68C86518F90CB9DE4666	True	620F6C1626F0CDFB07140F5447E4B951D7B6832FB84AB99B9536F1782FB22D8A	True	23	16053405	GRCh37/hg19	GRCh38/hg38	CHR:GRCh37_POS:ALLELE0:ALLELE1	True	True
5	SCARA5	OID21058	Q6ZMJ2	Neurology	syn51469924	Synapse syn51469924; provider-authorized archive verified	SCARA5_Q6ZMJ2_OID21058_v1_Neurology.tar	<external_resource_root>\UKB-PPP\syn51365303_European_discovery\SCARA5_Q6ZMJ2_OID21058_v1_Neurology.tar	549355520	2026-07-12T14:51:39	74F25AD353B8F0B78F59610AB2D20DCE	5E0C824CC601E0FD08BBC6930271279F6877EA9DD25023E9EAE452A787DEFF45	74F25AD353B8F0B78F59610AB2D20DCE	True	5E0C824CC601E0FD08BBC6930271279F6877EA9DD25023E9EAE452A787DEFF45	True	23	16040404	GRCh37/hg19	GRCh38/hg38	CHR:GRCh37_POS:ALLELE0:ALLELE1	True	True
