gene_symbol	assay_target_ID	UniProt_ID	outcome	method	method_role	nsnp	beta	SE	P_value	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Cochran_Q	Q_df	Q_P	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	Steiger_direction	Steiger_P	Steiger_method	mean_F	min_F	planned_family_size	observed_primary_tests_in_family	P_FDR_observed_reestimated	P_Bonferroni_planned_family	corrected_significance_FDR_observed	corrected_significance_Bonferroni_planned	planned_family_total	P_FDR_all_estimable	P_Bonferroni_planned_20	corrected_significance_FDR_all_estimable	corrected_significance_Bonferroni_planned_20	beta_status	exclusion_reason	beta_source	analysis_set	id.exposure	id.outcome	exposure
"BCAM"	"OID21076"	"P50895"	"wet_AMD"	"MR Egger"	"sensitivity"	28	-0.0238793702004828	0.043684961268417	0.589296069555116	-0.10950189428658	0.0617431538856146	0.976403486010869	0.896280466548441	1.06368910522569	26.7068477959847	26	0.424828258711584	0.00702479609964583	0.0057349038102801	0.231587588116716	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	155.149398093604	30.0625703570134	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"BCAM"	"wet_AMD"	"BCAM"
"BCAM"	"OID21076"	"P50895"	"wet_AMD"	"Weighted median"	"sensitivity"	28	0.0113038859693808	0.0377018594331423	0.764312142802849	-0.0625917585195781	0.0851995304583398	1.01136801630124	0.939326867616192	1.08893432058738	NA	NA	NA	0.00702479609964583	0.0057349038102801	0.231587588116716	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	155.149398093604	30.0625703570134	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"BCAM"	"wet_AMD"	"BCAM"
"CD55"	"OID20377"	"P08174"	"AD"	"Inverse variance weighted"	"primary"	21	-0.0728406203596178	0.0230549430120472	0.00158074733746289	-0.11802830866323	-0.0276529320560053	0.929749001279208	0.888670895173438	0.972725910204336	23.0106020169827	20	0.288274257148578	0.00374648541105757	0.00385753102786358	0.343644703808713	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	5	0.00790373668731444	0.00790373668731444	TRUE	TRUE	20	0.0316149467492577	0.0316149467492577	TRUE	TRUE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"AD"	"CD55"
"CD55"	"OID20377"	"P08174"	"AD"	"MR Egger"	"sensitivity"	21	-0.0933579106077339	0.0312941880026932	0.00763995933417818	-0.154694519093013	-0.0320213021224552	0.910867432831669	0.856676835932584	0.968485951053131	21.9222705935903	19	0.288141809677918	0.00374648541105757	0.00385753102786358	0.343644703808713	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"AD"	"CD55"
"CD55"	"OID20377"	"P08174"	"AD"	"Weighted median"	"sensitivity"	21	-0.102058254280474	0.0264213225899373	0.000112130061479242	-0.153844046556751	-0.0502724620041967	0.902976947864311	0.857405725960538	0.950970285929574	NA	NA	NA	0.00374648541105757	0.00385753102786358	0.343644703808713	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"AD"	"CD55"
"CD55"	"OID20377"	"P08174"	"any_AMD"	"Inverse variance weighted"	"primary"	21	0.0247645830589991	0.0402881548139131	0.538761806722861	-0.0542002003762705	0.103729366494269	1.02507377238503	0.947242449222949	1.10930020048579	39.3497912218222	20	0.00603023210983064	0.00825231887219342	0.00676231462658722	0.2372665089523	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	5	0.935185917372513	1	FALSE	FALSE	20	0.959774652352869	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"any_AMD"	"CD55"
"CD55"	"OID20377"	"P08174"	"any_AMD"	"MR Egger"	"sensitivity"	21	-0.0200938176091758	0.054181177977253	0.714841962455734	-0.126288926444592	0.0861012912262401	0.980106717724302	0.88136016173463	1.08991672171533	36.4897118324688	19	0.00918481485545883	0.00825231887219342	0.00676231462658722	0.2372665089523	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"any_AMD"	"CD55"
"CD55"	"OID20377"	"P08174"	"any_AMD"	"Weighted median"	"sensitivity"	21	0.00607675300315843	0.0338260088105387	0.857429425737898	-0.0602222242654973	0.0723757302718142	1.00609525392288	0.941555273904652	1.07505920047413	NA	NA	NA	0.00825231887219342	0.00676231462658722	0.2372665089523	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"any_AMD"	"CD55"
"CD55"	"OID20377"	"P08174"	"dry_AMD"	"Inverse variance weighted"	"primary"	21	-0.0121268812019133	0.0401565025338542	0.762659325405211	-0.0908336261682675	0.0665798637644409	0.987946353088494	0.913169625791249	1.06884632275754	27.8857073862068	20	0.112132643581228	0.0107694443490587	0.00654925516003309	0.116542726609235	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	5	0.953324156756513	1	FALSE	FALSE	20	0.959774652352869	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"dry_AMD"	"CD55"
"CD55"	"OID20377"	"P08174"	"dry_AMD"	"MR Egger"	"sensitivity"	21	-0.0706676653267952	0.0524723337995319	0.193903410792946	-0.173513439573878	0.0321781089202872	0.93177150065509	0.840705852357544	1.03270142226131	24.4115847580252	19	0.18083521278386	0.0107694443490587	0.00654925516003309	0.116542726609235	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"dry_AMD"	"CD55"
"CD55"	"OID20377"	"P08174"	"dry_AMD"	"Weighted median"	"sensitivity"	21	-0.0378960481117583	0.0415715153692006	0.361986230024317	-0.119376218235391	0.043584122011875	0.962813021920956	0.887473854100131	1.04454786008374	NA	NA	NA	0.0107694443490587	0.00654925516003309	0.116542726609235	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"dry_AMD"	"CD55"
"CD55"	"OID20377"	"P08174"	"wet_AMD"	"Inverse variance weighted"	"primary"	21	0.0737743418705735	0.0415024122841814	0.075470944839759	-0.0075703862064221	0.155119069947569	1.07656384270103	0.992458196993135	1.16779700235499	23.5835942393387	20	0.26105477497233	0.0106976915244549	0.00680345328874729	0.132364277116988	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	5	0.178677675049331	0.377354724198795	FALSE	FALSE	20	0.428826420118395	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"wet_AMD"	"CD55"
"CD55"	"OID20377"	"P08174"	"wet_AMD"	"MR Egger"	"sensitivity"	21	0.0156062669525519	0.0545238292271368	0.777800780366055	-0.0912604383326363	0.12247297223774	1.01572868071489	0.912779957050424	1.1302885704904	20.8680903242245	19	0.34413517454109	0.0106976915244549	0.00680345328874729	0.132364277116988	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"wet_AMD"	"CD55"
"CD55"	"OID20377"	"P08174"	"wet_AMD"	"Weighted median"	"sensitivity"	21	0.0431697490053964	0.045299503781193	0.340597655206014	-0.0456172784057419	0.131956776416535	1.0441151173112	0.955407547327268	1.14105899754249	NA	NA	NA	0.0106976915244549	0.00680345328874729	0.132364277116988	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	182.905452681509	29.7719298145731	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"CD55"	"wet_AMD"	"CD55"
"LILRB1"	"OID20323"	"Q8NHL6"	"AD"	"Inverse variance weighted"	"primary"	31	0.00113339724523045	0.0238691946416372	0.962127735633877	-0.0456502242523784	0.0479170187428393	1.00113403978262	0.955376071135247	1.04908359743665	54.1726901672531	30	0.00439791144943004	-0.0119869028828167	0.00378871703387907	0.00363888374559707	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	257.386698864406	29.8257837543759	5	5	0.962127735633877	1	FALSE	FALSE	20	0.976735527761696	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"AD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"AD"	"MR Egger"	"sensitivity"	31	0.0589108839311045	0.0277784605997759	0.042617372917959	0.00446510115554374	0.113356666706665	1.06068071283276	1.00447508457317	1.12003133960608	40.2720364242608	29	0.0795864256603518	-0.0119869028828167	0.00378871703387907	0.00363888374559707	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	257.386698864406	29.8257837543759	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"AD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"AD"	"Weighted median"	"sensitivity"	31	0.0193697045740628	0.0253499889336397	0.444812869985631	-0.030316273735871	0.0690556828839966	1.01955851439491	0.970138655645422	1.07149587146756	NA	NA	NA	-0.0119869028828167	0.00378871703387907	0.00363888374559707	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	257.386698864406	29.8257837543759	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"AD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"any_AMD"	"Inverse variance weighted"	"primary"	27	0.00864435576717963	0.0292802717753115	0.767819721882295	-0.048744976912431	0.0660336884467902	1.00868182610164	0.952423988836153	1.06826270467109	47.6062765395402	26	0.00599775364317503	0.00250842060064584	0.00608385431121642	0.683628085749116	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	5	0.935185917372513	1	FALSE	FALSE	20	0.959774652352869	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"any_AMD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"any_AMD"	"MR Egger"	"sensitivity"	27	-0.00233768066822177	0.0399381654117481	0.953789835664379	-0.080616484875248	0.0759411235388045	0.997665049579335	0.922547434501798	1.0788990505292	47.2847445814776	25	0.00453768847435219	0.00250842060064584	0.00608385431121642	0.683628085749116	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"any_AMD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"any_AMD"	"Weighted median"	"sensitivity"	27	-0.0100708047115342	0.0279859671841191	0.718957855514417	-0.0649233003924076	0.0447816909693392	0.989979736037938	0.937139338840507	1.045799527505	NA	NA	NA	0.00250842060064584	0.00608385431121642	0.683628085749116	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"any_AMD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"dry_AMD"	"Inverse variance weighted"	"primary"	27	0.0108357602071962	0.0343998821616811	0.752766127232225	-0.0565880088296987	0.0782595292440911	1.01089467967694	0.944983313959783	1.08140327802935	46.9292188516979	26	0.00716745356501928	0.0030161625305104	0.00714850710548821	0.676683115494704	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	5	0.953324156756513	1	FALSE	FALSE	20	0.959774652352869	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"dry_AMD"	"LILRB1"
