id.exposure	id.outcome	outcome	exposure	method	nsnp	beta	SE	P_value	Cochran_Q	Q_df	Q_P	gene_symbol	assay_target_ID	UniProt_ID	normalization	method_role	n_clumped	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	mean_F	min_F	beta_status	exclusion_reason	beta_source	instrument_scope	inference_role	planned_tests_per_outcome	planned_global_beta_tests	P_FDR_within_outcome	P_Bonferroni_within_outcome	P_FDR_global_36	P_Bonferroni_global_36	minus_log10_P	P_value_display	P_FDR_global_planned	P_Bonferroni_global_planned
"13125_45"	"dry_AMD"	"dry_AMD"	"13125_45"	"Inverse variance weighted"	18	0.0019938247911964	0.00968653722514848	0.836920090704479	18.7889120267546	17	0.34078213438038	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	24	-0.0169917881700946	0.0209794377524874	1.00199581378153	0.983151758076769	1.02120105323283	-0.0179759281477161	0.00827431864416543	0.0451888698222497	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.941535102042539	1	0.913003735313977	1	0.0773160065501392	"8.369e-01"	0.913003735313977	1
"13125_45"	"dry_AMD"	"dry_AMD"	"13125_45"	"MR Egger"	18	0.0115011989899735	0.0102003409307176	0.259518108427177	14.0691710612341	16	0.593560641726337	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	24	-0.00849146923423307	0.03149386721418	1.01156759206827	0.991544481460606	1.03199504657165	-0.0179759281477161	0.00827431864416543	0.0451888698222497	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.585832332938394	"2.595e-01"	NA	NA
"13125_45"	"dry_AMD"	"dry_AMD"	"13125_45"	"Weighted median"	18	0.00810857832643662	0.0102006488123976	0.426666964420753	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	24	-0.0118846933458626	0.0281018499987359	1.0081415418833	0.988185650673956	1.02850043185476	-0.0179759281477161	0.00827431864416543	0.0451888698222497	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.369910981994658	"4.267e-01"	NA	NA
"13125_45"	"wet_AMD"	"wet_AMD"	"13125_45"	"Inverse variance weighted"	18	0.0122607466239427	0.0103613251999956	0.236682988320671	16.3953424759983	17	0.49600178714032	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	24	-0.00804745076804858	0.0325689440159341	1.01233621770637	0.991984843277572	1.03310511710437	-0.00181911569304514	0.00940495370662492	0.84906335704766	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.44313493564491	1	0.521335218405776	1	0.625832956029366	"2.367e-01"	0.521335218405776	1
"13125_45"	"wet_AMD"	"wet_AMD"	"13125_45"	"MR Egger"	18	0.0132241732023966	0.0116001417251802	0.254285883233508	16.3570958145609	16	0.428328068603649	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	24	-0.0095121045789566	0.0359604509837498	1.01331199929632	0.990532992385518	1.03661484858272	-0.00181911569304514	0.00940495370662492	0.84906335704766	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.594677749159582	"2.543e-01"	NA	NA
"13125_45"	"wet_AMD"	"wet_AMD"	"13125_45"	"Weighted median"	18	0.0124092382278525	0.011783146085782	0.292279330883121	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	24	-0.0106857281002803	0.0355042045559853	1.01248655229647	0.989371161476407	1.03614200463597	-0.00181911569304514	0.00940495370662492	0.84906335704766	864.978214080975	32.5862100273505	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.534201895558725	"2.923e-01"	NA	NA
"13435_31"	"AD"	"AD"	"13435_31"	"Inverse variance weighted"	7	0.0521884409732393	0.0903705987796873	0.563606071624143	12.9975212591185	6	0.0430753263851566	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"primary"	10	-0.124937932634948	0.229314814581426	1.05357426036733	0.882551678541888	1.25773793093056	-0.0340334556327959	0.0172128355325612	0.104951303605462	94.5952388224387	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.717738006079716	1	0.72463637780247	1	0.249024336963217	"5.636e-01"	0.72463637780247	1
"13435_31"	"AD"	"AD"	"13435_31"	"MR Egger"	7	0.410082267411128	0.195612537968871	0.036046657698454	7.29429518093961	5	0.199657018705169	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"sensitivity"	10	0.0266816929921408	0.793482841830115	1.50694175221023	1.02704083643282	2.2110838868314	-0.0340334556327959	0.0172128355325612	0.104951303605462	94.5952388224387	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	1.44313499753015	"3.605e-02"	NA	NA
"13435_31"	"AD"	"AD"	"13435_31"	"Weighted median"	7	0.011819773078645	0.0950634610877519	0.901049556212832	NA	NA	NA	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"sensitivity"	10	-0.174504610653349	0.198144156810639	1.01188990262922	0.839872981857107	1.21913812821898	-0.0340334556327959	0.0172128355325612	0.104951303605462	94.5952388224387	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.045251322896709	"9.010e-01"	NA	NA
"13435_31"	"any_AMD"	"any_AMD"	"13435_31"	"Inverse variance weighted"	5	0.00304686915267227	0.106652024162249	0.977208878760975	3.2233630674767	4	0.521165695577004	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"primary"	10	-0.205991098205336	0.21208483651068	1.00305151557631	0.813840320890102	1.23625276000031	0.0393843291935711	0.0725680791284148	0.625045149863417	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.977208878760975	1	0.987790967584975	1	0.0100125957516299	"9.772e-01"	0.987790967584975	1
