gene_symbol	SomaScan_SeqId	SomaScan_display_ID	UniProt_ID	assay_target_name	assay_target_full_name	mapping_source_sheet	mapping_source_row	mapping_confidence	rs429358_alpha_in_significant_pQTL_supplement	rs429358_effect_allele	rs429358_other_allele	rs429358_beta_adj	rs429358_minus_log10_p_adj	rs429358_joint_beta	rs429358_joint_p	rs429358_source_row	rs429358_direct_alpha_in_full_GWAS	rs429358_full_GWAS_effect_allele	rs429358_full_GWAS_other_allele	rs429358_full_GWAS_alpha	rs429358_full_GWAS_SE	rs429358_full_GWAS_P	rs429358_full_GWAS_N	rs7412_alpha_in_significant_pQTL_supplement	rs7412_effect_allele	rs7412_other_allele	rs7412_beta_adj	rs7412_minus_log10_p_adj	rs7412_joint_beta	rs7412_joint_p	rs7412_source_row	rs7412_direct_alpha_in_full_GWAS	rs7412_full_GWAS_effect_allele	rs7412_full_GWAS_other_allele	rs7412_full_GWAS_alpha	rs7412_full_GWAS_SE	rs7412_full_GWAS_P	rs7412_full_GWAS_N	complete_aptamer_GWAS_available_locally	same_platform_beta_reestimation_ready	full_summary_data_requirement	current_gate_status	reestimated_outcome_beta_count	absence_interpretation	source_file	source_file_sha256	full_alpha_table	full_beta_table	mediation_summary_table
BRD2	10074_128	SeqId.10074-128	P25440	BRD2	Bromodomain-containing protein 2	ST2_somascan_assays	4115	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	0.002	0.010406	0.847592	35694	false	NA	NA	NA	NA	NA	NA	NA	true	T	C	-0.0587	0.01637	0.000336	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
BRD2	15372_43	SeqId.15372-43	P25440	BRD2	Bromodomain-containing protein 2	ST2_somascan_assays	4116	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	-0.0227	0.010537	0.031208	35694	false	NA	NA	NA	NA	NA	NA	NA	true	T	C	0.0433	0.016693	0.009491	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
CLN5	8874_53	SeqId.8874-53	O75503	CLN5	Ceroid-lipofuscinosis neuronal protein 5	ST2_somascan_assays	1408	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	-0.0044	0.010337	0.670349	35694	false	NA	NA	NA	NA	NA	NA	NA	true	T	C	-0.0496	0.016484	0.002622	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
COL10A1	15653_9	SeqId.15653-9	Q03692	COAA1	Collagen alpha-1(X) chain	ST2_somascan_assays	4232	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	-0.0068	0.010194	0.504741	35694	false	NA	NA	NA	NA	NA	NA	NA	true	T	C	0.0031	0.016315	0.8493	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
IL20RB	13435_31	SeqId.13435-31	Q6UXL0	IL-20 Rb	Interleukin-20 receptor subunit beta	ST2_somascan_assays	3473	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	-0.0006	0.011726	0.959192	35694	false	NA	NA	NA	NA	NA	NA	NA	true	T	C	0.0066	0.016532	0.689721	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
PLOD2	6923_1	SeqId.6923-1	O00469	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	ST2_somascan_assays	3485	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	-0.0127	0.010572	0.22965	35694	false	NA	NA	NA	NA	NA	NA	NA	true	T	C	0.0862	0.016845	3.1e-07	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
SDF2	15333_11	SeqId.15333-11	Q99470	SDF2	Stromal cell-derived factor 2	ST2_somascan_assays	1987	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	0.0	0.008442	1.0	35694	false	NA	NA	NA	NA	NA	NA	NA	true	T	C	0.0126	0.016526	0.445798	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
TMEM106B	8687_26	SeqId.8687-26	Q9NUM4	T106B	Transmembrane protein 106B	ST2_somascan_assays	4306	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	-0.0449	0.010427	1.66e-05	35694	true	T	C	0.11	10.38	0.11	4.1700000000000002E-11	12547	true	T	C	0.1094	0.016577	4.13e-11	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
VTN	13125_45	SeqId.13125-45	P04004	Vitronectin	Vitronectin	ST2_somascan_assays	1985	exact_aptamer_UniProt_gene	false	NA	NA	NA	NA	NA	NA	NA	true	C	T	-0.0183	0.008203	0.025692	35694	false	NA	NA	NA	NA	NA	NA	NA	true	T	C	0.0074	0.013317	0.57844	35695	true	true	satisfied_local_SMP_full_GWAS	same_platform_alpha_beta_mediation_complete	4	full_GWAS_direct_alpha_extracted_without_significance_selection	41586_2023_6563_MOESM3_ESM.xlsx	280d6acb1c0c0dd2dafb975b143744608358e88da8fb4527e19de94546f96042	<project_root>\A1_dual_scale_mediation\tables\APOE_variant_to_decode_somascan_alpha.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_beta_results.tsv	<project_root>\A1_dual_scale_mediation\tables\decode_smp_mediation_summary.tsv
