analysis_scope	planned_paths	estimable_paths	not_estimable_paths	bonferroni_surviving_paths	surviving_path_ids	aggregate_computed	aggregate_reason
genome_wide_APOE_excluded	72	72	0	3	10074_128:rs7412:any_AMD:opposing_or_suppressing;10074_128:rs7412:dry_AMD:opposing_or_suppressing;10074_128:rs7412:wet_AMD:opposing_or_suppressing	False	independent_platform_extension_not_merged_or_summed
cis_only	72	56	16	1	8687_26:rs7412:AD:opposing_or_suppressing	False	independent_platform_extension_not_merged_or_summed
cis_only_target_gene_PAV_filtered	72	56	16	0	none	False	independent_platform_extension_not_merged_or_summed
