method	id.exposure	id.outcome	outcome	exposure	nsnp	beta	SE	P_value	Cochran_Q	Q_df	Q_P	gene_symbol	assay_target_ID	UniProt_ID	normalization	method_role	n_clumped	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	mean_F	min_F	beta_status	exclusion_reason	beta_source	instrument_scope	inference_role	planned_tests_per_outcome	planned_global_beta_tests	P_FDR_within_outcome	P_Bonferroni_within_outcome	P_FDR_global_36	P_Bonferroni_global_36	minus_log10_P	P_value_display	P_FDR_global_planned	P_Bonferroni_global_planned
"not_estimable"	NA	NA	"AD"	NA	0	NA	NA	NA	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"any_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"dry_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"wet_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"BRD2"	"10074_128"	"P25440"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"Inverse variance weighted"	"13125_45"	"AD"	"AD"	"13125_45"	7	-0.0120851157966583	0.019875649776029	0.54316342380412	1.37773213729979	6	0.96719898581923	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	9	-0.0510413893576751	0.0268711577643585	0.987987615929974	0.950239339922581	1.02723544292591	-0.00088769607817241	0.0181169684002438	0.962817878481448	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	0.848690421770934	1	0.969931910595353	1	0.265069482790265	"5.432e-01"	0.969931910595353	1
"MR Egger"	"13125_45"	"AD"	"AD"	"13125_45"	7	-0.00991698304959342	0.0485082284245587	0.83801030566956	1.3753313286413	5	0.926992621281863	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.104993110761728	0.0851591446625416	0.99013202807883	0.900330725157789	1.08889034399629	-0.00088769607817241	0.0181169684002438	0.962817878481448	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.0767506404772397	"8.380e-01"	NA	NA
"Weighted median"	"13125_45"	"AD"	"AD"	"13125_45"	7	-0.0116635330080759	0.0207650566634087	0.574326975391441	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.052363044068357	0.0290359780522053	0.988404222315053	0.948984281182537	1.02946163183319	-0.00088769607817241	0.0181169684002438	0.962817878481448	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.240840784992523	"5.743e-01"	NA	NA
"Inverse variance weighted"	"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	7	0.0169095519703806	0.0242745981981941	0.48605658913251	2.7768949118369	6	0.83628262063117	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	9	-0.0306686604980799	0.064487764438841	1.01705332769543	0.969796851852768	1.06661252756199	-0.00183981718823386	0.0234913879939819	0.940612160509484	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	0.729084883698765	1	0.920949326777388	1	0.313313165064293	"4.861e-01"	0.920949326777388	1
"MR Egger"	"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	7	0.0213499931314704	0.0616750079711718	0.729215499784761	2.77076107826888	5	0.735276382801813	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.0995330224920263	0.142233008754967	1.021579534896	0.905260055431954	1.15284524027778	-0.00183981718823386	0.0234913879939819	0.940612160509484	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.137144108805526	"7.292e-01"	NA	NA
"Weighted median"	"13125_45"	"any_AMD"	"any_AMD"	"13125_45"	7	0.0193344456205015	0.0278028983198659	0.486797672079754	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.0351592350864356	0.0738281263274387	1.01952256646235	0.965451670236851	1.07662174665975	-0.00183981718823386	0.0234913879939819	0.940612160509484	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.312651507281197	"4.868e-01"	NA	NA
"Inverse variance weighted"	"13125_45"	"dry_AMD"	"dry_AMD"	"13125_45"	7	-0.00119456058223509	0.0287170169564978	0.966819442157761	4.01061243718096	6	0.675240182356763	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	9	-0.0574799138169707	0.0550907926525006	0.998806152621241	0.944140854381971	1.0566365451552	0.00846282359394939	0.0277980950336255	0.773057056887864	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	1	1	1	1	0.0146546247756271	"9.668e-01"	1	1
"MR Egger"	"13125_45"	"dry_AMD"	"dry_AMD"	"13125_45"	7	-0.0216216293748897	0.072984452903045	0.767039321937876	3.91792934691616	5	0.56129170026729	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.164671157064858	0.121427898315079	0.978610442453841	0.84817257379191	1.12910795240434	0.00846282359394939	0.0277980950336255	0.773057056887864	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.115182371562232	"7.670e-01"	NA	NA
"Weighted median"	"13125_45"	"dry_AMD"	"dry_AMD"	"13125_45"	7	0.0107433977699307	0.0335468200945747	0.748778175864469	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.0550083696154358	0.0764951651552972	1.01080131529226	0.946477226269931	1.07949697112434	0.00846282359394939	0.0277980950336255	0.773057056887864	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.125646822175611	"7.488e-01"	NA	NA
"Inverse variance weighted"	"13125_45"	"wet_AMD"	"wet_AMD"	"13125_45"	7	0.0437488006444047	0.0325735593289177	0.179247019324042	6.12058084257041	6	0.409819104345705	"VTN"	"13125_45"	"P04004"	"smp"	"primary"	9	-0.020095375640274	0.107592976929083	1.0447198889613	0.980105190688746	1.11359439452038	-0.0107406445528758	0.0342266287189972	0.766335569045656	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	0.384868522015096	1	0.537741057972125	1	0.746548057427995	"1.792e-01"	0.537741057972125	1
"MR Egger"	"13125_45"	"wet_AMD"	"wet_AMD"	"13125_45"	7	0.069661250323236	0.0898169437338828	0.437990271983945	6.00236255580568	5	0.305989099349795	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.106379959395174	0.245702460041646	1.07214493098342	0.899082968146997	1.27851910642078	-0.0107406445528758	0.0342266287189972	0.766335569045656	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.358535535319211	"4.380e-01"	NA	NA
"Weighted median"	"13125_45"	"wet_AMD"	"wet_AMD"	"13125_45"	7	0.0424559940156153	0.0388214108382386	0.274120287162068	NA	NA	NA	"VTN"	"13125_45"	"P04004"	"smp"	"sensitivity"	9	-0.0336339712273323	0.118545959258563	1.04337014083328	0.966925362376151	1.12585861654022	-0.0107406445528758	0.0342266287189972	0.766335569045656	1548.44123615105	36.093894612707	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.562058821897557	"2.741e-01"	NA	NA
"not_estimable"	NA	NA	"AD"	NA	0	NA	NA	NA	NA	NA	NA	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"any_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"dry_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"not_estimable"	NA	NA	"wet_AMD"	NA	0	NA	NA	NA	NA	NA	NA	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"primary"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not_estimable"	"No variants remained after PLINK clumping"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	NA	NA	NA	NA
"Inverse variance weighted"	"15333_11"	"AD"	"AD"	"15333_11"	6	-0.0136343256609667	0.0321252964174753	0.671266179708079	6.00594654696335	5	0.30564072357743	"SDF2"	"15333_11"	"Q99470"	"smp"	"primary"	6	-0.0765999066392182	0.0493312553172849	0.986458200767978	0.926260370105392	1.05056829944228	-0.055100760012676	0.0437383265279602	0.276240157273179	503.820242352002	35.4103306978562	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	0.86305651676753	1	1	1	0.173105233250298	"6.713e-01"	1	1
"MR Egger"	"15333_11"	"AD"	"AD"	"15333_11"	6	0.175329286146811	0.153044810483883	0.251957583355237	4.29990466419031	4	0.366937035133566	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	6	-0.124638542401598	0.475297114695221	1.19163854207906	0.882815945452361	1.60849203311646	-0.055100760012676	0.0437383265279602	0.276240157273179	503.820242352002	35.4103306978562	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.598672565826684	"2.520e-01"	NA	NA
"Weighted median"	"15333_11"	"AD"	"AD"	"15333_11"	6	0.00304088750578148	0.0304142100725653	0.920358251499246	NA	NA	NA	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	6	-0.0565709642364465	0.0626527392480095	1.00304551569427	0.944999420953268	1.0646570614186	-0.055100760012676	0.0437383265279602	0.276240157273179	503.820242352002	35.4103306978562	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	NA	NA	NA	NA	0.0360430896499866	"9.204e-01"	NA	NA
"Inverse variance weighted"	"15333_11"	"any_AMD"	"any_AMD"	"15333_11"	6	0.0657122250228429	0.0517309121698482	0.203988475928428	9.46509509461226	5	0.0918903133824071	"SDF2"	"15333_11"	"Q99470"	"smp"	"primary"	6	-0.0356803628300595	0.167104812875745	1.06791935247492	0.96494867765944	1.18187813486278	0.00572568004998318	0.0788485073219874	0.945597587348996	503.820242352002	35.4103306978562	"reestimated"	"NA"	"deCODE_SomaScan_smp_cis_only_to_frozen_A1_outcomes"	"cis_only"	"independent_same_platform_sensitivity"	9	36	0.458974070838962	1	0.542798947921835	1	0.690394366799892	"2.040e-01"	0.542798947921835	1
