resource_id	sha256
MAGMA_binary	cfaf44469064d3b4b6717cea11666b9754d0250950d35ce290d059327ae5a583
NCBI37_3_gene_location	c628e49f6674492c61140d3df8b850cd1bf963f87df505c175d6ada743b5d845
1000G_EUR_bed	ffe4adc0cd22d53397050ff8584323a31958bc4cbce281b1aeb935d5555e8363
1000G_EUR_bim	fa1084f8104ea52c24fa71bedca04b28721e0e5519b38d723b65fa68c4b689b5
1000G_EUR_fam	a6971a3b9b7fd344009619d7d2803d7c7d77aae2b1974cf6b1b29a0fbae293cd
AD_Wightman	4a226daf55b8789a82f4458be155a75d881fa853137507f5767fbeb6e22e2ff6
AMD_Dry_R12	77e39970113d4fe0d2dbf55b084c14a4c16d75a9eb1373043d4d4cd7120ed0e4
AMD_Wet_R12	5dcab9870bfb6a7d95b3449c86638dc04070c48886e113525d591fb8f536a9b4
AMD_H7_R12	56bb78e49178c4abe442a9a063d564ca1bdede389aa8b0dd572c88f15d92608f6
