exposure,outcome,snp,beta_exposure,se_exposure,beta_outcome,se_outcome,wald_beta,wald_se,wald_pval,wald_manual,exposure_a1,outcome_a1,alleles_flipped,mr_keep,direction,interpretation
AD,Dry_AMD,rs429358,-1.1275,0.0132,0.210934,0.0227274,-0.187081152993348,0.0201573392461197,1.67825932692167e-20,-0.187081152993348,T,T,FALSE,TRUE,Antagonistic,T allele (ε3) decreases AD risk but INCREASES Dry_AMD risk
AD,Wet_AMD,rs429358,-1.1275,0.0132,0.221611,0.0256245,-0.196550776053215,0.0227268292682927,5.22251640764275e-18,-0.196550776053215,T,T,FALSE,TRUE,Antagonistic,T allele (ε3) decreases AD risk but INCREASES Wet_AMD risk
AD,Any_AMD,rs429358,-1.1275,0.0132,0.203119,0.0190975,-0.180149889135255,0.0169379157427938,2.02872042848656e-26,-0.180149889135255,T,T,FALSE,TRUE,Antagonistic,T allele (ε3) decreases AD risk but INCREASES Any_AMD risk
Dry_AMD,AD,rs429358,-0.210934,0.0227274,1.1275,0.0132,-5.34527387713692,0.0625788161225786,0,-5.34527387713692,C,C,FALSE,TRUE,Antagonistic,T allele (ε3) decreases Dry_AMD risk but INCREASES AD risk
Wet_AMD,AD,rs429358,-0.221611,0.0256245,1.1275,0.0132,-5.08774383943035,0.0595638303152822,0,-5.08774383943035,C,C,FALSE,TRUE,Antagonistic,T allele (ε3) decreases Wet_AMD risk but INCREASES AD risk
Any_AMD,AD,rs429358,-0.203119,0.0190975,1.1275,0.0132,-5.55093319679597,0.0649865349868796,0,-5.55093319679597,C,C,FALSE,TRUE,Antagonistic,T allele (ε3) decreases Any_AMD risk but INCREASES AD risk
