exposure,outcome,b,se,pval,fdr,log10p,significant
IL1B,Dry_AMD,0.000396552289300036,0.0677829857110307,0.995332145065729,0.995332145065729,0.00203196980859118,NS
IL1B,Wet_AMD,0.120818270234453,0.0761164001901799,0.112448557199014,0.43160504869484,0.949046112522938,NS
IL6,AD,-0.0224768899404314,0.146724799864661,0.878247810054284,0.975830900060316,0.0563829244650867,NS
IL6,Any_AMD,-0.012158356463065,0.19294964612489,0.949756068152047,0.982506277398669,0.0223879229835285,NS
IL6,Dry_AMD,-0.0562220771492273,0.170959869899667,0.742260561861225,0.89071267423347,0.129443613973866,NS
IL6,Wet_AMD,0.00561297111773584,0.260377028130342,0.98280126251816,0.98280126251816,0.00753429429175521,NS
LPA,AD,0.000205629732187673,0.0200379562699045,0.991812243387487,0.992488494756089,0.00357053488055513,NS
LPA,Any_AMD,-0.037365281718927,0.0327260471955365,0.25355391930249,0.475413598692169,0.595929671969632,NS
LPA,Dry_AMD,-0.0188304023428073,0.0300197051035991,0.530483532890083,0.758393156984584,0.275328092791797,NS
LPA,Wet_AMD,-0.034368632541786,0.0444461820537327,0.439366156293054,0.671130205540596,0.357173399170736,NS
PON1,AD,-0.0191228169126941,0.0161307097921232,0.235823233075229,0.884337124032109,0.627413410863809,NS
PON1,Any_AMD,-0.0275720080588883,0.0418535192060616,0.51004093938335,0.665270790500022,0.292394963049711,NS
PON1,Dry_AMD,-0.0353631199352931,0.0367512781710357,0.335934936104682,0.592826357831792,0.473744828642683,NS
PON1,Wet_AMD,-0.0127326923620258,0.0575187786342317,0.824807593601552,0.882916487925282,0.0836473493684889,NS
SERPING1,AD,0.0731938028610373,0.0469965099284833,0.119368284701117,0.67904463954449,0.923111046815796,NS
SERPING1,Any_AMD,0.0613949433914143,0.0732811095015992,0.402142809943077,0.58532606898932,0.395619691800333,NS
SERPING1,Dry_AMD,0.0124048813311129,0.0745002761402252,0.867757300437986,0.964174778264429,0.061601723923798,NS
SERPING1,Wet_AMD,0.0526477844481436,0.0822735265765216,0.522230068709227,0.671130205540596,0.282138126196443,NS
TGFB1,AD,-0.0125614089069917,0.0329044038580539,0.702643365759412,0.939910142796933,0.153265049919996,NS
TGFB1,Any_AMD,-0.105490215659226,0.0783409917046723,0.178124576209205,0.445311440523012,0.749276155911823,NS
TGFB1,Dry_AMD,-0.0716984425273036,0.087192775865701,0.410907332224666,0.684845553707777,0.38625610912435,NS
TGFB1,Wet_AMD,-0.157679563876025,0.0916972649803037,0.085511232532483,0.427556162662415,1.06797683373422,NS
TLR4,AD,-0.00295742761726025,0.0568543871345512,0.958514685756975,0.992488494756089,0.0184012287490306,NS
TLR4,Any_AMD,-0.160418231705967,0.155460586406808,0.302123629395501,0.503557447111906,0.519815306786431,NS
TLR4,Dry_AMD,-0.169804645822879,0.148351341880065,0.252370143496513,0.473194019055962,0.597962025345816,NS
TLR4,Wet_AMD,-0.217298028222636,0.224588160512864,0.333274156416729,0.671130205540596,0.47719836218935,NS
TNF,AD,0.0172128917581092,0.0861665943845095,0.841665990906479,0.971153066430553,0.0748602209529487,NS
TNF,Any_AMD,0.201182587610287,0.16972311590836,0.235876083103919,0.471752166207838,0.62731609261408,NS
TNF,Dry_AMD,0.281959013581759,0.164226352163332,0.0859987918578728,0.216738553942765,1.06550764983951,NS
TNF,Wet_AMD,0.120959991448902,0.184726978431423,0.512593860607453,0.671130205540596,0.290226599712978,NS
TREM2,AD,-0.200114958923406,0.0446551481576377,7.41753858133426e-06,0.000222526157440028,5.12974018608062,FDR<0.05
TREM2,Any_AMD,0.123348057145728,0.321910286642418,0.701589821854766,0.80952671752473,0.153916720018832,NS
TREM2,Dry_AMD,0.0706711505576812,0.333441677289731,0.832150284049646,0.960173404672668,0.0797982342386557,NS
TREM2,Wet_AMD,0.207552049011396,0.336116004267524,0.536904164432477,0.671130205540596,0.270103227470864,NS
